weather_id,timestamp,weather_type,temperature_c,visibility_km
50190,17/08/23 18:42,clr,24.3,6.2
8242,2023-08-09,CLEAR,21.4,6.8
8415,12-07-2023 00:21,CLR,2.8,7.7
43238,03-03-2023 08:44,rain ,18.2,2.2
31149,09-23-2023 20:46,rainy,18.6,2.9
36032,26/07/23 18:20,clear,37.7,7.4
10822,12-09-2023 11:33,CLEAR,4.9,6.4
17371,06/05/23 12:13,Sunny,34.0,8.5
34582,17/07/23 18:20,Raining,27.2,24.7
57176,14/01/23,clr,13.0,9.1
39754,2023-02-07,rain ,8.9,6.5
27731,2023-05-31 11:41:42,clear,32.8,
13881,2023-05-23,RAINY,33.1,4.9
35344,2023-10-19 22:27:20,CLR,14.3,8.2
49498,11/05/23,CLEAR,28.9,9.8
47837,2023-07-05,foggy,35.5,1.3
45212,2023-05-31 14:39:52,Sunny,28.5,5.4
13183,2023-03-13 21:54:57,sunny,15.5,8.1
46724,15/06/23 14:50,clear,30.1,9.8
20429,09/09/23,clr,18.9,5.3
26149,02/09/23 22:53,clr,23.9,7.3
44020,02-15-2023 00:37,Foggy,18.1,0.3
42591,06/02/23 11:37,Rain,19.5,4.7
24473,06/10/23 14:12,Sunny,10.3,6.9
28712,2023-09-19,clear,16.4,5.4
58958,14/05/23,RAIN,33.0,
33920,08-18-2023 09:13,Sunny,23.5,
29589,03/03/23 13:12,rain,17.6,4.7
7931,2023-11-04 16:09:26,clear,9.3,10.0
16247,09/04/23,clr,28.4,9.1
14726,2023-11-03,fog,5.9,0.01
4197,07-02-2023 06:06,Fog ,32.7,2.3
22157,2023-01-17,sunny,6.2,7.6
1379,04/03/23,CLR,19.5,8.2
38556,30/06/23,rainy,29.3,5.8
36302,10-12-2023 13:18,sunny,14.2,5.1
15081,30/05/23,RAINY,37.3,6.0
38565,01/09/23 15:47,clr,19.3,6.4
14433,2023-03-22,Raining,20.8,3.9
472,01/05/23 03:58,CLEAR,31.9,5.5
4653,2023-11-20 17:45:30,clr,5.4,8.4
46390,2023-08-23,CLEAR,25.5,9.2
41360,2023-03-28 20:23:56,,19.8,2.5
3859,2023-01-25 09:45:11,clr,2.2,7.1
15004,2023-05-18,Clear,29.6,6.5
4418,08-03-2023 14:14,clr,31.4,5.1
59338,11/11/23,rain ,5.1,
2059,04/11/23,fog,11.0,1.7
56338,2023-03-16 09:39:13,CLR,16.7,9.6
21655,2023-03-27 15:47:54,raining,15.8,3.3
4644,2023-04-06 17:42:42,RAIN,16.1,1.8
33696,07-07-2023 05:04,Sunny,27.0,6.9
15598,01-09-2023 19:10,CLR,0.4,6.2
18251,2023-05-24 06:54:38,Fog ,34.5,1.8
43843,08/05/23,CLR,33.0,5.3
31813,07-14-2023 04:48,FOGGY,34.9,0.3
14041,2023-01-25,clear,12.9,7.6
35340,11/03/23,CLEAR,22.0,7.5
8672,21/06/23,FOG,35.0,2.8
57828,2023-02-03,Rain,13.9,3.5
30977,08/06/23 07:40,clear,39.5,5.5
30997,2023-04-17 18:22:02,CLEAR,28.0,9.4
12479,18/06/23,Sunny,32.9,5.3
41360,2023-10-22,clear,7.5,8.1
27760,30/04/23,sunny,25.5,7.9
56613,06/05/23 08:29,Sunny,37.4,6.2
44130,03/08/23,Sunny,25.2,8.5
42349,12/02/23,CLEAR,11.4,9.0
57176,08-01-2023 14:19,clear,25.2,6.2
52468,2023-07-28,Raining,30.5,6.4
16296,20/12/23 07:21,Clear,7.2,7.5
33920,21/04/23,Foggy,30.0,2.5
27649,10-08-2023 18:32,CLR,15.8,7.4
13183,08-08-2023 12:02,Sunny,29.5,7.3
4941,2023-08-27 07:07:55,Foggy,25.0,3.2
56450,2023-01-09 00:32:30,FOG,12.7,1.3
6417,23/05/23 06:15,foggy,35.5,1.5
29589,2023-08-20,Clear,28.9,8.1
6113,2023-02-10,Raining,13.0,6.0
55621,18/02/23,sunny,13.4,9.0
26635,24/07/23 02:46,clear,35.5,
14009,01-24-2023 12:29,clr,4.1,5.7
59143,2023-05-21 01:07:36,RAIN,27.7,5.2
10822,22/06/23 17:49,clear,32.3,8.4
17371,25/01/23 12:11,sunny,11.8,7.7
51385,2023-10-27,sunny,7.7,5.3
18695,11/02/23,CLR,12.2,7.0
47875,30/05/23,Clear,37.9,7.5
36423,2023-08-10,clear,28.3,7.9
31895,05-19-2023 03:38,Fog,42.3,2.8
1379,29/06/23,clr,35.8,7.2
3833,2023-10-17,Clear,11.4,5.9
35534,10-06-2023 14:27,Sunny,14.0,8.2
14433,11-02-2023 08:54,CLEAR,5.0,8.3
26635,2023-05-11 15:46:10,CLEAR,41.8,5.3
55884,03-17-2023 17:38,Clear,17.3,7.5
3728,05-20-2023 18:20,clr,26.9,8.7
5251,21/04/23 00:24,Fog ,18.3,1.2
4491,2023-02-02,RAINY,14.0,6.5
44251,2023-12-13 20:14:40,Sunny,,7.0
26462,2023-03-30 17:52:53,clear,14.2,7.4
44020,2023-11-08 18:58:29,CLR,4.9,8.6
2605,23/03/23,rain ,21.7,1.9
27475,04/07/23 16:51,sunny,32.5,8.4
37043,2023-06-11 21:42:13,sunny,36.3,8.5
17090,2023-08-12,sunny,16.0,8.5
46937,2023-10-31,CLR,16.6,9.7
17408,10/12/23,clear,,8.9
44020,07-03-2023 10:31,Clear,30.2,6.9
29965,20/06/23,Clear,33.4,6.3
49275,23/05/23 04:17,rainy,41.0,6.3
611,2023-11-28,clear,2.9,5.5
36897,2023-10-10 03:35:09,sunny,10.8,6.0
4802,09-13-2023 10:51,CLEAR,15.9,6.8
33154,03/12/23 18:36,Sunny,0.2,8.5
22873,2023-08-19 16:03:01,CLEAR,27.3,9.7
57624,02-09-2023 06:06,Foggy,14.3,1.5
18677,14/01/23,Rain,2.6,4.8
5251,2023-04-07 15:53:28,RAIN,,5.5
40087,07/12/23,Sunny,4.1,5.8
52895,01-05-2023 04:48,foggy,,2.6
513,04/08/23 08:26,Clear,35.6,9.4
36347,08/10/23 03:28,sunny,9.5,6.6
43476,04/07/23,CLR,28.3,7.9
5162,15/08/23,clear,33.4,8.6
58309,2023-05-30 10:32:02,RAINY,30.0,4.9
44251,20/06/23,Clear,42.0,
14726,16/05/23,sunny,36.1,6.5
47030,2023-03-16 17:15:08,CLEAR,20.8,7.9
45056,2023-03-20 01:25:47,Raining,20.0,6.0
17301,2023-11-12 18:31:10,Sunny,-9.3,8.2
16458,2023-09-30 23:00:02,Foggy,28.7,0.9
55451,09/06/23,sunny,37.4,7.6
52895,29/12/23 09:32,sunny,16.4,8.1
18133,13/09/23,CLR,25.6,8.2
3859,2023-10-12 17:30:26,clear,12.0,6.8
41754,20/06/23,sunny,30.5,9.5
10590,12-10-2023 12:29,CLEAR,5.7,7.4
36155,20/10/23 04:31,clear,18.0,7.8
36760,17/01/23,sunny,,5.6
39253,2023-05-31 22:52:19,Sunny,37.6,10.0
45287,2023-04-23,Sunny,22.8,6.1
35756,27/03/23,Fog ,21.2,1.4
15598,28/08/23 19:47,CLEAR,24.5,6.7
9706,13/06/23 03:21,rain,34.6,
2742,2023-06-15 13:00:13,sunny,38.6,5.5
58916,2023-01-11,rain ,7.9,5.4
56408,03/12/23,clr,6.1,8.6
21655,08-23-2023 18:02,RAINY,27.1,5.2
16354,28/05/23,FOGGY,29.3,2.4
23179,15/03/23 19:11,sunny,18.0,9.6
57943,16/03/23,FOGGY,27.2,1.4
40676,24/05/23,CLR,36.2,8.6
15515,26/11/23 15:16,sunny,4.2,10.0
52422,2023-04-18,Sunny,25.2,7.4
57765,10/04/23,sunny,31.0,8.6
11755,04-28-2023 01:40,RAINY,29.0,5.7
21771,24/04/23,CLR,22.8,7.5
26983,06-23-2023 05:10,foggy,35.7,2.1
56628,17/11/23,Fog ,-0.7,2.9
16264,2023-07-25 17:30:03,sunny,36.0,6.4
51602,2023-09-27 05:31:08,FOGGY,24.1,0.7
25071,2023-08-27 03:08:23,clr,24.5,8.8
56269,25/10/23,rainy,18.1,6.9
13080,02/09/23 10:28,clr,24.1,5.6
30167,2023-05-23 12:54:17,CLEAR,36.0,6.9
53775,23/05/23,CLR,33.3,8.2
14916,10-24-2023 12:22,RAINY,10.7,5.7
43256,26/12/23,Fog,2.6,3.0
41360,09/07/23 00:41,Fog,38.5,3.3
4550,2023-01-18 17:26:57,Sunny,3.9,5.7
18293,10-01-2023 22:13,clear,16.5,9.6
33385,25/11/23,Sunny,6.5,9.1
55291,01-11-2023 08:18,RAIN,8.3,6.8
1809,11/12/23,clear,4.6,9.0
28712,11-02-2023 22:53,clr,10.1,9.2
58958,02-15-2023 12:57,CLR,17.0,7.0
49275,2023-07-09,Clear,40.1,9.4
47746,2023-12-28 08:10:46,Sunny,3.3,9.0
28600,19/03/23 20:02,Rain,21.0,6.0
33517,2023-04-29,CLEAR,29.0,7.7
17090,2023-08-07,clear,31.2,
10017,18/09/23 13:37,sunny,19.1,7.8
111,2023-03-05 17:59:28,Sunny,24.4,8.3
52856,18/11/23,Clear,9.0,6.0
47149,2023-11-13 00:23:03,,-0.6,
48303,27/11/23,sunny,1.9,9.1
23870,2023-01-09,foggy,2.8,0.9
43532,17/09/23,CLEAR,19.7,6.1
40840,02-12-2023 17:51,CLR,10.6,7.0
55576,24/07/23,CLEAR,38.8,6.9
43532,2023-04-03,Clear,31.3,8.5
20270,2023-03-16,CLEAR,23.8,8.7
21377,04/05/23,Sunny,34.0,8.4
19377,2023-02-06,RAIN,10.1,6.7
12573,02/09/23,CLEAR,13.6,8.5
24848,19/05/23 07:57,clr,35.6,6.5
59167,2023-04-22 20:42:31,CLEAR,28.1,8.7
27475,07-27-2023 23:05,sunny,35.6,9.1
35910,01-04-2023 01:46,Foggy,7.9,1.6
19915,01-26-2023 10:52,clr,7.1,5.4
28174,11-30-2023 07:46,foggy,5.4,3.4
39759,02-11-2023 01:04,FOGGY,19.9,1.2
30474,05-23-2023 05:12,Rain,33.9,2.3
44278,06-23-2023 18:42,clr,31.5,6.7
31011,12-19-2023 19:36,sunny,7.0,9.5
52169,10-14-2023 03:27,rain ,10.4,5.2
43179,2023-07-06,,33.5,5.3
31895,03-17-2023 00:06,Fog ,20.6,1.7
40584,2023-12-25,,5.6,2.2
53637,20/08/23,Fog,31.2,0.7
15393,21/06/23,Foggy,32.7,2.9
14723,2023-02-13,sunny,14.9,5.6
9657,2023-12-26 16:20:13,Raining,11.4,4.1
10822,2023-12-31,clr,4.7,7.4
40061,2023-03-28,Raining,26.0,2.4
4773,2023-05-23 22:15:35,CLR,32.8,5.4
58074,07-03-2023 11:45,Sunny,34.8,5.2
12743,13/01/23,Sunny,0.7,5.2
25165,2023-05-28,Raining,34.7,3.7
15990,03-27-2023 15:48,CLEAR,24.6,9.0
6974,01-24-2023 20:38,clr,10.0,8.6
56390,19/02/23,clr,11.5,5.9
6986,2023-07-22,sunny,38.4,5.6
14342,2023-11-21,sunny,8.6,8.2
6986,05-20-2023 09:15,Sunny,30.0,6.2
36531,10-05-2023 19:19,clr,12.0,5.4
55597,19/03/23 02:36,FOGGY,16.7,1.2
33920,26/11/23,Clear,8.0,7.1
43751,2023-02-01 21:27:52,Clear,9.6,
36630,2023-10-22 00:18:13,CLR,12.8,5.5
49497,2023-09-04,Fog,25.2,3.3
40151,2023-01-21 10:22:07,Clear,9.3,10.0
58460,2023-11-05 21:31:15,sunny,,7.5
54433,2023-01-09 09:04:02,clr,12.3,9.9
29224,07-11-2023 07:51,CLR,33.2,8.9
48737,02/12/23,clr,8.8,7.5
29496,2023-05-06,foggy,32.9,1.2
16204,26/09/23 03:34,FOG,18.2,1.6
18174,03/09/23 12:42,Clear,23.2,5.6
34164,2023-02-23 18:58:49,clear,6.5,5.6
15680,23/02/23 07:56,Fog,12.7,3.4
5078,2023-12-20 12:30:26,,4.5,8.8
15368,14/11/23,Sunny,1.0,5.7
20953,2023-12-17,clear,8.5,
5281,12/10/23,RAIN,15.5,3.2
6417,2023-07-24 10:13:48,clr,37.9,7.4
10015,2023-09-01,RAINY,22.4,2.0
4210,11-04-2023 15:17,Clear,8.8,7.7
21685,08-05-2023 13:13,Sunny,19.0,7.9
27249,2023-05-12 18:32:56,clear,31.7,5.9
55291,2023-06-24,Fog ,37.2,1.2
50450,2023-12-09,sunny,6.8,5.3
45582,08/02/23 06:57,Rain,12.2,4.0
50450,12-22-2023 20:39,clear,-0.3,7.8
387,2023-12-10 10:04:53,CLEAR,0.0,5.9
19570,04-04-2023 01:24,CLR,29.7,8.5
55932,11-14-2023 08:03,clr,1.1,6.7
54771,04-03-2023 01:02,CLR,23.3,8.7
48990,2023-11-13 16:13:20,clear,8.9,5.4
52421,2023-10-11,FOG,10.8,2.9
14454,24/07/23 07:09,Foggy,33.7,2.3
17888,18/02/23 17:41,CLEAR,6.1,5.1
1903,09-04-2023 19:59,sunny,17.8,6.6
43836,22/09/23 22:05,rainy,20.6,5.7
26498,04-15-2023 10:05,CLR,24.0,8.6
55084,20/12/23 21:46,clr,5.0,7.7
8365,2023-05-29,Raining,38.9,6.5
35005,21/06/23 10:01,Sunny,33.5,7.8
56628,2023-08-08 12:20:14,CLEAR,18.6,8.0
43451,2023-05-26,clr,33.2,9.2
49275,07-21-2023 10:47,Clear,35.9,7.9
19377,01/04/23 21:59,clear,25.3,9.8
3833,2023-12-06,Clear,1.0,9.0
13872,2023-07-04,clear,31.2,8.1
22119,2023-09-28,sunny,23.1,6.9
24847,12-22-2023 08:26,sunny,4.0,5.2
54521,20/04/23,clr,21.4,7.8
54717,07-02-2023 17:13,CLEAR,31.5,7.4
39910,04/02/23,Clear,16.4,5.5
3414,14/06/23 18:12,RAINY,31.0,
22936,2023-11-26,Sunny,11.4,6.9
4497,2023-09-22,clear,17.6,9.6
42714,07-04-2023 12:44,clear,36.0,8.0
35349,2023-12-12 16:42:25,clear,13.0,8.2
13066,2023-07-20 01:33:21,raining,30.5,3.1
40720,2023-07-30,Clear,26.7,9.0
42591,14/10/23 11:04,RAINY,15.1,5.3
7497,05-08-2023 13:32,CLEAR,32.8,6.2
14285,13/11/23 13:51,CLR,8.4,8.0
16794,27/09/23 10:19,CLR,18.0,7.9
10997,08-10-2023 22:55,CLEAR,23.4,9.9
49017,31/10/23,Clear,16.0,8.3
50974,2023-11-27,clr,10.7,5.3
20385,2023-05-02,CLEAR,32.1,8.0
49972,04-27-2023 15:06,rainy,27.7,4.7
37736,02-25-2023 18:24,Rain,10.7,5.4
24597,02-01-2023 06:37,Raining,19.4,5.2
46860,2023-03-21,Clear,23.7,6.5
14454,2023-10-10,clear,13.6,5.7
41107,27/09/23,sunny,23.4,7.0
45692,2023-03-06,sunny,19.0,8.8
55725,08-21-2023 03:52,FOG,35.8,2.7
52792,03/01/23,sunny,10.3,7.0
10015,2023-11-04 23:39:03,clr,8.7,9.3
22755,22/09/23,rainy,19.4,5.9
43354,04/06/23,sunny,36.8,6.0
33159,03-16-2023 00:54,Fog ,18.2,0.5
830,2023-12-10,CLR,4.8,8.4
53893,30/11/23 15:02,sunny,5.1,8.4
28412,03/04/23,CLR,32.7,5.9
41654,06-22-2023 11:10,Sunny,37.0,6.4
30130,2023-07-10,CLR,35.3,5.2
28541,09-08-2023 14:38,clear,16.1,5.4
6986,01-24-2023 03:31,Foggy,7.0,19.8
17701,05-31-2023 02:58,rain,38.7,4.9
35270,2023-04-22 20:25:54,sunny,22.3,6.6
30466,05-07-2023 02:36,Sunny,34.4,7.4
47909,03-22-2023 23:55,CLEAR,16.7,8.9
21123,10-14-2023 12:18,Rain,9.8,4.5
54443,10-31-2023 13:35,Clear,9.3,9.2
18280,06-02-2023 23:12,clr,33.3,5.1
15982,2023-07-03,clr,32.7,9.6
37346,2023-07-09,CLR,35.9,8.5
24838,12-14-2023 13:58,clr,3.4,7.7
32395,06-04-2023 04:34,clear,37.0,7.8
11918,2023-01-10 22:44:05,rain,19.5,2.9
23254,2023-05-31 18:01:22,Sunny,32.2,6.5
22305,10-30-2023 11:53,Raining,12.9,3.5
39070,21/05/23 23:13,rain,29.2,2.8
18106,2023-04-11 04:33:08,foggy,28.2,2.3
33858,18/10/23,fog,9.9,2.7
5611,05-18-2023 18:46,CLR,29.7,6.6
26636,06-15-2023 15:13,clr,33.7,6.0
49688,2023-01-06,CLEAR,3.6,
31202,20/05/23 04:20,sunny,26.8,6.0
32167,2023-01-10 13:00:32,Clear,8.7,8.8
1131,2023-12-28,Rain,4.4,6.1
33920,2023-12-03,sunny,6.8,5.9
15946,27/06/23,RAINY,28.1,
38113,29/10/23,RAIN,9.9,4.5
36273,06-11-2023 22:02,Sunny,41.1,
27886,2023-12-18,CLR,7.5,6.1
36071,2023-02-14 01:29:40,Fog,6.4,2.6
46063,28/06/23,rain,30.7,4.9
20095,2023-03-17,Clear,21.3,6.5
7908,07-28-2023 12:12,clr,27.2,6.9
20680,2023-03-02,Fog ,22.8,0.2
40151,2023-01-27 22:23:54,CLEAR,9.5,6.6
45231,19/08/23,clr,26.8,9.3
57176,05-29-2023 14:09,rainy,33.6,2.7
18121,15/05/23,rain,34.6,
49821,03-10-2023 06:32,Fog,13.9,2.4
18547,27/12/23,Rain,4.9,2.0
54568,01-12-2023 20:00,sunny,7.4,7.7
4941,21/02/23,CLR,57.8,6.1
19810,23/12/23,CLR,4.7,7.5
49497,27/10/23 15:17,clear,7.8,8.9
7332,2023-10-17 14:16:06,CLR,8.7,8.1
36265,2023-08-24,RAINY,29.2,4.6
8276,10-01-2023 10:15,clear,15.9,5.7
49335,01/02/23,rainy,13.0,5.1
57195,2023-07-12,foggy,28.2,1.5
27475,25/10/23 08:58,rain,10.7,4.8
28867,09/03/23,CLR,21.5,8.2
3368,2023-04-17,CLEAR,29.1,6.8
56474,2023-04-06,rainy,15.9,4.1
53879,11/03/23,CLR,17.8,5.5
40584,23/09/23,rain ,11.1,6.0
3414,11/06/23 05:24,sunny,38.9,7.5
9944,19/04/23 02:41,Fog,58.6,2.1
6417,17/11/23 08:11,Sunny,2.8,6.1
5583,30/11/23 21:38,sunny,2.6,7.7
7763,02-14-2023 16:46,Clear,12.8,5.7
27275,09-08-2023 14:35,CLEAR,21.3,5.8
51822,18/12/23,Clear,3.0,9.1
50836,18/07/23 19:17,Sunny,30.8,8.8
29525,2023-10-06,foggy,13.4,3.2
19488,2023-07-28,clear,38.3,9.6
28104,30/07/23,FOGGY,40.6,0.1
40700,10/12/23,FOGGY,2.6,1.6
32167,2023-06-29 08:44:16,clear,31.6,5.5
40151,22/08/23 08:56,CLEAR,22.4,8.8
13830,13/01/23 07:53,raining,9.6,4.5
5321,27/11/23,clear,10.7,9.5
59338,2023-08-19 19:35:20,sunny,23.9,5.5
10259,06-04-2023 13:52,Sunny,40.3,6.7
43532,2023-04-06,raining,24.9,1.7
30797,08/12/23 00:20,Fog ,4.2,1.6
15171,15/03/23,Fog ,8.7,2.7
18529,2023-08-02,clr,32.1,9.6
29756,2023-06-17 13:16:50,CLR,41.6,7.7
29589,04/06/23,CLEAR,32.5,9.9
51632,12-02-2023 03:47,foggy,6.8,1.9
38653,2023-08-28 10:34:25,Clear,24.3,5.6
12965,06-16-2023 08:55,clr,38.1,9.5
35689,10-21-2023 14:23,Sunny,17.9,5.8
9765,05/02/23 00:26,Sunny,8.3,8.3
54175,05-12-2023 19:53,clear,32.5,9.8
3797,2023-11-26 08:51:50,CLEAR,7.0,6.8
22873,2023-02-01 10:41:02,rain ,23.0,6.3
54018,2023-05-26,Fog,32.3,2.0
18915,2023-11-01 03:15:48,clr,10.7,5.4
30717,11-05-2023 22:10,Clear,11.5,6.9
45858,2023-10-19,clear,15.4,5.6
17842,2023-10-07,sunny,12.6,9.1
32362,2023-07-20,rain ,38.7,2.8
39193,29/08/23 22:43,raining,29.3,4.0
28600,2023-08-18 02:54:20,CLR,33.3,7.3
39565,19/09/23 12:15,CLR,25.9,6.0
5986,05/08/23,CLEAR,27.9,8.0
44191,2023-12-22 00:48:01,FOG,4.9,3.3
37697,25/08/23 00:02,raining,24.6,4.2
1360,2023-04-02 03:58:29,Fog,27.8,3.2
44059,2023-06-02,FOGGY,35.7,1.6
37765,2023-08-27 08:54:40,CLR,19.4,5.6
20095,22/01/23,Clear,14.4,5.5
6986,05-02-2023 18:17,Clear,37.7,9.8
18230,28/12/23,clr,2.2,7.5
55932,10-17-2023 20:40,CLR,12.8,5.9
53363,2023-04-07,Rain,30.3,4.7
5980,2023-07-28 19:29:28,RAIN,32.9,1.9
26762,2023-09-03 13:39:32,Sunny,24.1,5.6
43918,2023-03-26 05:28:20,clear,13.0,7.0
4653,2023-03-03 11:40:54,rain ,20.4,3.2
45461,2023-12-17 18:45:19,clr,4.6,5.0
43424,12/03/23,foggy,20.3,1.6
53318,10-30-2023 13:47,clr,18.8,8.9
2405,2023-05-10 09:10:50,Clear,30.1,9.4
20613,23/07/23,CLR,37.1,6.8
7598,11-08-2023 04:46,sunny,11.5,9.5
26489,07-04-2023 00:57,Foggy,31.4,1.7
54063,10/10/23,,18.8,5.4
43101,14/11/23 10:07,sunny,9.8,8.8
30277,2023-01-05,Foggy,10.2,2.4
12294,04-07-2023 07:57,CLEAR,30.5,9.8
40805,2023-09-18 03:29:37,FOGGY,19.2,2.2
40987,10/09/23 15:07,sunny,14.6,7.7
3383,04/04/23,Clear,25.0,7.1
35994,07-05-2023 07:14,fog,32.4,1.1
17090,20/04/23 13:09,sunny,26.0,6.9
45761,2023-12-19 22:04:15,Sunny,-0.7,6.1
1892,2023-01-13 20:31:12,rain,4.2,
39904,07-11-2023 08:55,sunny,27.9,9.7
46517,01-25-2023 19:24,,8.2,3.2
34164,20/10/23,Fog ,11.5,0.7
53775,29/08/23 18:15,CLR,28.9,7.0
30797,04-11-2023 18:16,clr,34.1,8.6
30242,2023-08-02,Sunny,29.1,6.2
42449,2023-08-03 21:21:29,Sunny,32.8,6.7
32662,2023-11-19,fog,8.6,2.0
19128,07-24-2023 21:05,clr,32.7,
17920,18/12/23 01:44,FOG,-2.4,0.03
31622,2023-12-11 17:36:31,CLR,6.9,6.2
15974,01-10-2023 23:25,rain ,3.2,6.3
9480,2023-10-11 00:04:20,fog,8.5,1.0
39281,05-16-2023 20:58,CLR,33.2,5.3
57628,31/12/23,sunny,3.5,
5614,12-13-2023 20:02,CLR,6.0,9.7
51774,10-21-2023 06:13,Foggy,14.0,2.9
22275,26/04/23,Clear,32.0,5.9
33276,06-23-2023 03:55,sunny,42.3,9.9
169,2023-12-08 12:11:39,clr,8.1,9.9
19567,21/08/23 17:26,Clear,22.0,8.2
38006,2023-03-27,RAINY,18.6,4.5
32090,11-24-2023 20:58,,5.7,8.4
29265,07-02-2023 10:02,clear,29.5,7.8
22619,19/07/23 01:55,Raining,42.7,3.0
49996,2023-12-31,clear,1.1,8.8
29842,07-05-2023 00:58,Foggy,37.6,0.3
56991,2023-05-13 03:27:19,Sunny,36.3,8.3
39759,2023-12-15 14:59:05,clear,4.0,9.7
15307,22/09/23 01:35,Rain,20.0,3.4
26921,02-16-2023 23:28,clr,13.3,7.7
1892,2023-12-20 16:39:49,Clear,1.6,7.3
53177,19/03/23,Rain,18.2,6.5
43496,03-13-2023 03:29,foggy,18.1,2.4
42731,12/04/23 16:21,Sunny,25.1,8.1
32462,26/03/23,Clear,20.0,9.8
8274,2023-10-07,Sunny,9.5,6.8
38679,09/08/23,sunny,24.5,8.4
6578,13/12/23 16:46,sunny,-0.4,8.3
28856,2023-12-13,Clear,-0.1,6.7
45461,2023-01-22,sunny,10.0,6.3
17090,07/11/23,CLEAR,9.1,5.2
42912,12/11/23 07:56,CLEAR,4.9,9.0
4904,03/09/23,Sunny,17.1,5.3
17369,11-02-2023 20:15,CLEAR,8.5,8.2
45398,2023-11-01,CLR,3.1,6.2
5264,2023-02-27,clr,15.6,9.7
55860,01-17-2023 22:51,Clear,2.8,5.7
34972,2023-05-01,CLR,56.8,9.9
20753,2023-12-23,CLR,10.3,
58160,2023-09-11 11:09:40,clr,16.9,8.2
57173,2023-07-02,Sunny,33.4,9.3
40466,16/04/23 00:44,sunny,25.7,5.1
50450,02-25-2023 21:38,clr,18.2,9.4
48941,2023-03-09 15:35:29,Sunny,22.4,6.2
8672,02/05/23 01:00,fog,30.4,2.8
46131,2023-01-27,Clear,4.0,6.8
29077,30/10/23,RAIN,5.2,
43836,08/08/23 17:34,Sunny,23.1,6.2
3015,10/01/23 20:24,rain ,12.1,3.8
3678,14/05/23,sunny,39.3,7.3
24566,17/05/23,Sunny,25.9,5.6
16004,2023-11-04 19:18:21,Sunny,4.1,7.3
37089,03-31-2023 23:26,Sunny,20.2,5.3
11801,08/06/23,CLR,,8.8
14433,2023-09-18,clr,24.8,5.1
25071,07-02-2023 08:43,CLEAR,36.5,7.0
15784,2023-09-27 19:03:55,CLEAR,17.7,6.4
38218,28/05/23 16:28,Raining,25.6,
7598,07-21-2023 06:36,CLR,37.7,7.9
30119,2023-06-10 18:12:42,CLEAR,29.9,7.8
616,2023-09-12 17:24:10,FOGGY,13.7,3.4
30491,15/11/23 00:11,Foggy,8.5,1.2
44408,2023-02-03,Rain,14.6,1.5
4841,12/09/23,fog,26.4,3.1
22647,2023-11-20 14:04:27,,6.2,6.4
19606,2023-05-20,FOG,35.1,2.1
27808,22/06/23,sunny,27.5,9.6
29940,26/02/23,CLR,12.3,5.6
13056,2023-07-27 02:39:14,Sunny,30.3,6.2
55925,08/10/23 12:43,Sunny,13.4,7.2
15546,06/04/23 11:30,sunny,31.5,5.3
23525,2023-05-04 05:44:18,Fog,38.0,0.09
45828,18/12/23,CLEAR,3.1,8.3
54398,2023-05-05 02:01:45,CLR,34.9,7.6
17989,26/05/23 18:13,sunny,-7.1,7.7
34582,2023-07-01,Clear,37.6,6.2
48836,03-14-2023 11:04,Sunny,20.8,7.3
