traffic_id,hour,day_of_week,zone_type,traffic_level,avg_speed_kmph
TRF061591,20,2,commercial,medium,39.1
TRF046091,3,4,commercial,low,76.6
TRF027657,7,1,,high,26.8
TRF088752,7,6,residential,medium,39.0
TRF039337,5,6,,medium,53.0
TRF050628,15,0,industrial,medium,49.5
TRF015319,4,5,industrial,low,74.1
TRF074551,22,5,commercial,medium,46.0
TRF052098,20,1,residential,medium,40.6
TRF076387,0,5,industrial,low,49.5
TRF053635,1,1,commercial,medium,32.1
TRF080440,10,2,industrial,medium,28.9
TRF020283,9,6,commercial,low,76.6
TRF002462,19,0,commercial,medium,54.8
TRF075344,22,4,commercial,low,56.9
TRF083705,22,1,industrial,low,52.4
TRF071490,16,0,commercial,medium,50.3
TRF074671,4,2,residential,,65.4
TRF000259,21,2,industrial,low,
TRF002669,,,,medium,29.9
TRF035727,17,5,residential,high,28.8
TRF002285,4,0,industrial,low,68.6
TRF028734,15,6,industrial,medium,53.1
TRF076739,16,4,,low,77.7
TRF093939,22,3,residential,low,77.6
TRF018980,23,1,residential,low,64.7
TRF013179,1,5,residential,low,46.1
TRF040791,8,,industrial,high,18.4
TRF087258,23,1,residential,low,60.9
TRF017292,3,0,commercial,low,59.2
TRF005080,4,0,commercial,medium,52.9
TRF079546,2,4,industrial,medium,49.7
TRF023760,16,5,industrial,low,62.9
TRF036439,8,4,,high,20.6
TRF046504,7,4,residential,medium,30.1
TRF079091,20,0,,medium,33.5
TRF071920,6,2,commercial,medium,27.1
TRF077771,7,5,residential,high,28.1
TRF081863,22,0,residential,low,59.9
TRF069239,20,6,commercial,high,13.1
TRF017946,0,5,industrial,low,78.4
TRF024588,16,4,industrial,medium,28.8
TRF087365,,0,,high,19.6
TRF066990,23,4,commercial,low,58.8
TRF087834,10,3,commercial,medium,36.4
TRF090212,1,5,industrial,low,58.6
TRF074720,12,0,industrial,medium,26.4
TRF001276,18,3,,medium,37.6
TRF049302,5,4,residential,low,78.4
TRF041610,12,4,residential,high,16.2
TRF089183,6,5,,medium,30.5
TRF018557,12,2,residential,medium,33.2
TRF045502,19,3,industrial,low,52.1
TRF080286,16,2,,,74.8
TRF054421,7,1,residential,high,16.2
TRF027838,4,5,industrial,low,66.9
TRF087101,19,4,,high,25.0
TRF005904,22,1,industrial,low,50.7
TRF053178,1,4,,medium,41.1
TRF053051,19,2,,high,16.8
TRF063228,19,4,,low,57.5
TRF081992,11,6,,high,15.5
TRF079852,0,2,commercial,low,47.6
TRF095040,,1,industrial,high,29.1
TRF024007,10,6,industrial,low,54.4
TRF071605,8,0,industrial,medium,36.8
TRF002686,13,2,industrial,medium,38.9
TRF002815,9,0,,high,21.1
TRF083783,22,6,industrial,low,54.6
TRF059633,20,5,industrial,high,22.7
TRF092268,11,2,,medium,49.1
TRF079370,13,6,commercial,medium,41.3
TRF034664,18,3,,high,17.2
TRF039220,6,2,,high,17.4
TRF060353,17,4,residential,high,26.8
TRF029715,5,4,commercial,high,22.6
TRF084392,22,2,,low,66.1
TRF005946,18,2,residential,high,17.2
TRF032111,12,4,residential,low,47.3
TRF064858,0,0,,low,78.7
TRF003319,,0,residential,,75.7
TRF002967,4,4,residential,low,52.2
TRF033575,22,2,industrial,low,55.8
TRF074182,3,0,industrial,low,46.0
TRF083795,19,3,industrial,high,13.1
TRF060192,9,1,commercial,low,70.9
TRF056604,8,0,,medium,46.5
TRF053131,21,5,residential,low,48.7
TRF044927,8,6,,,66.1
TRF078602,7,4,commercial,medium,46.3
TRF021488,0,4,,low,49.0
TRF089200,16,2,,medium,30.9
TRF025261,22,2,industrial,medium,52.7
TRF064171,18,2,industrial,high,25.2
TRF053673,20,4,industrial,medium,51.9
TRF064728,16,3,,medium,52.7
TRF038818,17,4,residential,high,28.9
TRF081356,5,2,industrial,low,45.8
TRF001291,22,5,commercial,low,46.6
TRF020453,12,3,industrial,medium,46.2
TRF057973,20,2,residential,medium,47.6
TRF071803,3,0,residential,medium,46.3
TRF039164,11,4,,high,24.1
TRF087749,23,3,,medium,29.2
TRF062916,18,1,commercial,high,22.9
TRF007393,7,4,,high,16.0
TRF090810,13,1,commercial,high,14.9
TRF087847,0,6,,low,56.1
TRF078032,18,4,,low,49.2
TRF075393,5,6,,low,50.7
TRF040402,5,0,commercial,low,50.5
TRF086940,5,,commercial,high,26.4
TRF083743,23,1,industrial,medium,28.5
TRF007696,8,1,industrial,medium,48.6
TRF035437,12,0,commercial,low,74.0
TRF058416,6,1,,,63.9
TRF005840,2,0,,low,49.0
TRF071703,5,,,low,56.4
TRF038434,11,3,,medium,48.6
TRF066142,22,1,,medium,40.0
TRF055685,14,6,commercial,high,17.5
TRF072958,,4,commercial,high,19.8
TRF073559,11,4,residential,high,10.3
TRF000701,15,2,residential,medium,38.8
TRF001108,6,6,residential,high,
TRF044366,1,4,commercial,low,46.6
TRF000020,22,2,,low,61.5
TRF058861,6,3,industrial,low,61.9
TRF029544,23,1,commercial,low,50.6
TRF041243,16,1,industrial,medium,52.3
TRF034057,2,2,industrial,low,74.6
TRF021242,21,3,residential,high,24.6
TRF019434,10,6,residential,high,26.0
TRF009840,9,,commercial,high,29.9
TRF062970,9,3,commercial,high,27.7
TRF077359,3,1,industrial,low,52.0
TRF060240,10,4,industrial,medium,50.7
TRF031436,6,5,,low,78.4
TRF064950,22,6,commercial,low,57.9
TRF061273,2,6,,low,55.7
TRF074071,19,2,,low,48.4
TRF007084,8,1,industrial,low,72.1
TRF014064,12,6,,medium,52.9
TRF013987,19,,industrial,medium,37.7
TRF069031,13,0,industrial,medium,38.7
TRF051672,22,4,residential,,50.1
TRF089332,7,4,,high,10.3
TRF086548,11,5,commercial,medium,25.3
TRF021072,18,5,commercial,high,23.2
TRF010730,10,5,industrial,,56.0
TRF091083,8,0,industrial,low,56.6
TRF041769,0,5,residential,high,26.4
TRF049414,22,2,industrial,,73.6
TRF008744,8,2,,medium,48.8
TRF002928,9,0,industrial,high,17.3
TRF072014,20,0,industrial,low,45.6
TRF014649,20,2,residential,medium,34.2
TRF077831,19,5,commercial,high,12.6
TRF068153,5,2,residential,low,78.3
TRF067708,14,4,residential,medium,43.0
TRF054335,19,3,residential,high,11.4
TRF009700,10,5,residential,high,17.2
TRF067355,18,3,,high,11.2
TRF042280,16,6,residential,medium,49.2
TRF052319,,0,,high,10.3
TRF014177,21,0,residential,low,64.7
TRF012435,14,0,commercial,medium,53.8
TRF037365,7,3,,high,16.5
TRF007413,22,6,industrial,medium,32.6
TRF018647,6,1,industrial,low,74.7
TRF075112,15,2,industrial,high,16.9
TRF055084,23,2,industrial,low,54.1
TRF082317,23,5,industrial,medium,30.4
TRF053770,20,0,residential,low,62.1
TRF058577,4,2,commercial,low,56.0
TRF039665,13,5,commercial,low,58.2
TRF048035,1,1,industrial,high,29.1
TRF003442,0,1,,low,69.5
TRF027102,16,4,industrial,medium,42.3
TRF048495,16,4,residential,high,23.8
TRF038827,5,1,,low,72.6
TRF042350,23,4,industrial,low,77.7
TRF020152,4,0,industrial,low,50.7
TRF063327,22,3,commercial,high,24.7
TRF046109,23,4,commercial,low,53.3
TRF091251,9,4,,medium,32.5
TRF064743,13,6,residential,medium,43.1
TRF003410,22,6,,medium,
TRF038079,12,2,,medium,45.7
TRF060176,23,6,industrial,low,63.7
TRF077404,16,1,industrial,,45.5
TRF008196,9,5,,low,77.1
TRF069865,11,0,,medium,52.9
TRF011890,12,6,commercial,high,18.5
TRF056108,19,0,industrial,high,29.4
TRF063552,9,0,,high,17.6
TRF072126,,5,commercial,medium,41.2
TRF020997,4,1,commercial,low,72.2
TRF094782,,6,residential,high,12.6
TRF017764,13,1,residential,medium,36.9
TRF047003,15,6,,medium,40.2
TRF057054,12,1,,low,48.3
TRF016811,18,5,industrial,high,
TRF038103,18,4,residential,high,28.7
TRF092331,7,5,industrial,high,18.8
TRF033141,22,1,,low,73.1
TRF087060,3,1,,high,16.1
TRF069054,6,5,,high,23.4
TRF058658,10,3,industrial,high,15.4
TRF056437,4,2,industrial,low,50.0
TRF051290,12,5,industrial,medium,28.2
TRF093670,12,4,commercial,medium,28.1
TRF066062,13,4,residential,medium,48.1
TRF031088,9,0,industrial,high,27.0
TRF055927,15,3,,medium,45.1
TRF030339,2,1,commercial,low,69.3
TRF034027,23,2,commercial,medium,31.4
TRF088420,11,3,residential,high,18.9
TRF017095,7,1,residential,high,14.3
TRF045446,16,0,commercial,medium,47.4
TRF003272,1,1,commercial,high,27.5
TRF064650,18,0,residential,high,22.8
TRF026376,18,4,,high,11.4
TRF017316,4,6,,low,74.8
TRF041054,2,3,commercial,low,47.2
TRF011403,12,1,commercial,high,16.4
TRF019505,21,5,,low,60.3
TRF057963,13,2,industrial,medium,53.3
TRF000953,23,4,industrial,medium,37.4
TRF038976,0,1,commercial,low,73.2
TRF027317,15,6,residential,high,19.7
TRF054293,15,1,commercial,high,24.8
TRF000276,8,5,residential,high,18.8
TRF011549,1,1,commercial,high,
TRF075933,13,0,residential,medium,26.5
TRF036600,7,1,commercial,medium,44.5
TRF000300,,4,,medium,48.9
TRF023919,13,0,industrial,medium,29.8
TRF027856,22,6,residential,low,72.0
TRF069278,14,0,industrial,medium,54.3
TRF057960,2,1,commercial,low,63.4
TRF085351,17,5,industrial,high,14.1
TRF003296,9,1,,high,28.9
TRF074183,1,2,,medium,39.6
TRF008177,17,0,industrial,low,45.1
TRF049164,11,0,,medium,26.6
TRF022190,13,2,residential,medium,32.3
TRF042674,12,4,industrial,medium,26.0
TRF048497,12,5,industrial,low,73.9
TRF022151,17,0,,medium,35.5
TRF079644,10,6,industrial,high,21.6
TRF029579,23,5,,low,46.1
TRF035136,13,2,residential,high,20.9
TRF079297,15,4,residential,low,76.5
TRF029507,16,1,residential,medium,34.3
TRF019310,6,1,residential,medium,46.8
TRF071418,19,3,commercial,high,14.3
TRF045814,15,1,residential,medium,43.5
TRF022139,17,6,,high,14.9
TRF002168,9,4,,high,13.8
TRF007705,10,2,residential,high,13.2
TRF069962,7,0,commercial,medium,29.9
TRF023740,11,5,,medium,49.6
TRF033563,16,1,industrial,high,25.4
TRF037816,10,4,,medium,33.5
TRF070718,14,2,commercial,medium,32.2
TRF013883,17,6,residential,high,26.7
TRF000001,15,6,residential,high,29.2
TRF080719,4,2,residential,low,46.7
TRF030534,12,0,,medium,30.9
TRF059663,13,2,industrial,low,71.3
TRF034580,17,2,industrial,high,
TRF054229,8,6,industrial,high,23.2
TRF080030,17,5,commercial,high,22.2
TRF052208,23,4,,low,58.7
TRF028533,22,2,commercial,low,64.3
TRF089434,16,1,,medium,40.4
TRF050229,21,0,industrial,low,79.7
TRF093170,0,5,,low,70.0
TRF000343,6,1,,low,65.0
TRF023286,19,0,industrial,high,12.2
TRF085522,7,0,commercial,medium,37.4
TRF012958,4,0,,low,48.0
TRF060781,6,1,,medium,48.3
TRF084143,10,3,commercial,low,78.7
TRF003125,8,0,industrial,medium,52.3
TRF035435,7,6,residential,high,12.0
TRF078781,20,0,industrial,low,74.2
TRF049694,19,,commercial,medium,45.3
TRF067795,0,0,residential,,71.9
TRF002673,20,6,residential,low,56.7
TRF083594,11,2,residential,medium,50.7
TRF029513,7,3,,high,11.6
TRF067336,7,1,industrial,high,25.1
TRF086085,14,4,commercial,high,11.0
TRF012858,21,3,commercial,high,18.2
TRF045861,18,2,,high,27.6
TRF072882,21,1,industrial,low,55.7
TRF034319,3,3,residential,low,71.6
TRF093168,17,5,industrial,high,15.0
TRF001664,17,0,commercial,high,11.7
TRF023653,16,5,industrial,high,17.1
TRF016911,5,0,,medium,28.6
TRF079507,20,3,residential,low,60.1
TRF091578,,6,industrial,medium,33.0
TRF086259,9,2,industrial,medium,32.8
TRF022419,8,4,,high,19.6
TRF063232,19,3,commercial,medium,41.8
TRF082172,22,4,industrial,medium,54.3
TRF062298,14,0,industrial,high,11.3
TRF085779,20,4,residential,medium,48.9
TRF084516,2,0,commercial,low,73.6
TRF024617,7,3,industrial,,49.7
TRF031605,8,6,,high,25.5
TRF014055,20,3,industrial,,52.5
TRF010429,9,1,residential,medium,33.0
TRF043855,4,3,industrial,low,58.7
TRF019805,16,2,residential,medium,46.5
TRF037534,8,5,industrial,medium,45.5
TRF080157,,5,industrial,high,18.5
TRF001480,17,0,commercial,high,17.5
TRF087811,6,4,,low,62.6
TRF066993,8,3,industrial,high,14.2
TRF000529,5,4,,low,56.7
TRF093896,7,4,residential,high,25.4
TRF052062,16,0,residential,high,18.4
TRF024417,20,0,industrial,low,63.8
TRF081287,22,5,residential,medium,33.6
TRF072246,22,1,,low,75.8
TRF056908,11,1,industrial,medium,29.0
TRF063534,19,3,industrial,medium,51.0
TRF061585,2,4,residential,low,58.9
TRF093498,11,3,industrial,medium,37.7
TRF041200,8,0,commercial,high,18.9
TRF005004,0,2,industrial,high,12.5
TRF029227,,1,industrial,high,10.1
TRF058826,15,4,,medium,32.6
TRF028553,11,5,residential,high,21.2
TRF025915,14,4,,medium,45.8
TRF079056,0,5,commercial,medium,29.5
TRF028601,15,2,residential,medium,37.3
TRF000695,15,4,commercial,high,18.2
TRF076430,18,0,residential,high,11.1
TRF069313,7,5,commercial,high,12.9
TRF037760,14,6,,medium,41.1
TRF078967,13,1,residential,medium,27.8
TRF068120,18,0,commercial,high,11.3
TRF021124,16,6,industrial,low,59.3
TRF038540,21,1,,low,78.0
TRF070599,11,0,,high,17.6
TRF078021,5,6,,medium,34.5
TRF019946,0,3,industrial,medium,35.9
TRF075018,13,0,,low,70.1
TRF003675,20,1,commercial,low,75.7
TRF017705,22,3,commercial,medium,33.6
TRF092032,17,4,,high,16.6
TRF064791,5,5,,low,58.2
TRF049406,2,1,industrial,low,66.6
TRF021679,20,2,,medium,41.0
TRF091817,6,5,,low,58.8
TRF013790,9,1,industrial,high,19.4
TRF081322,1,0,industrial,low,
TRF089606,11,4,industrial,medium,33.0
TRF002823,5,5,commercial,low,56.1
TRF010319,13,6,industrial,high,29.0
TRF066407,18,1,commercial,high,17.8
TRF042418,16,5,,low,77.4
TRF069510,23,2,industrial,low,56.6
TRF077197,9,5,,high,10.8
TRF073032,18,0,commercial,high,16.2
TRF056710,21,1,industrial,low,77.0
TRF003294,10,4,,high,15.6
TRF031093,9,2,industrial,medium,26.2
TRF061920,11,0,commercial,low,79.4
TRF094053,5,6,commercial,medium,35.3
TRF038228,17,6,commercial,high,17.0
TRF055556,10,5,residential,high,27.0
TRF037300,9,1,commercial,high,27.9
TRF001209,15,2,,low,46.7
TRF078646,4,5,,high,16.6
TRF012860,14,3,,medium,30.1
TRF067282,20,0,residential,medium,45.0
TRF012165,18,2,industrial,medium,33.8
TRF075159,3,5,,medium,39.2
TRF052262,19,5,,medium,52.4
TRF056691,19,6,industrial,high,
TRF084432,17,0,residential,high,12.8
TRF049258,17,0,,medium,32.8
TRF035349,3,5,industrial,,76.6
TRF089414,5,4,industrial,low,47.2
TRF021962,2,1,,low,48.1
TRF049569,8,5,industrial,low,74.7
TRF044134,15,1,commercial,high,19.0
TRF089220,18,5,industrial,high,27.0
TRF059343,1,5,commercial,low,66.8
TRF033550,22,1,residential,low,74.0
TRF029947,6,2,,high,20.0
TRF005741,18,1,industrial,medium,46.7
TRF092228,16,5,residential,high,27.8
TRF052808,3,5,residential,medium,29.3
TRF092146,6,2,residential,low,57.7
TRF085512,7,5,,high,20.5
TRF053154,4,0,,low,71.9
TRF000593,13,3,industrial,medium,38.4
TRF076389,15,5,industrial,,54.6
TRF009258,16,4,industrial,,72.3
TRF095785,19,4,residential,high,12.3
TRF056002,16,6,commercial,low,45.7
TRF048837,1,4,commercial,low,65.2
TRF057310,11,1,industrial,low,79.3
TRF055837,18,4,residential,high,25.3
TRF038883,19,4,,high,13.2
TRF052431,1,0,commercial,medium,54.2
TRF065661,17,0,industrial,high,20.7
TRF067326,22,5,commercial,low,47.1
TRF004173,6,5,commercial,,64.3
TRF018891,17,3,commercial,low,76.1
TRF025858,21,0,residential,low,52.9
TRF052243,16,5,industrial,medium,49.6
TRF009775,20,4,residential,low,76.7
TRF051319,11,2,,medium,31.6
TRF092679,16,2,,low,75.3
TRF000176,4,1,commercial,low,47.0
TRF058323,6,6,residential,low,74.2
TRF079205,16,3,,high,29.3
TRF046350,3,0,industrial,high,24.4
TRF087974,15,6,,medium,
TRF039910,7,3,industrial,high,19.5
TRF083690,17,5,commercial,high,24.9
TRF033705,21,0,industrial,low,58.5
TRF045672,21,3,industrial,low,78.6
TRF046181,18,3,residential,high,19.3
TRF012664,2,0,industrial,low,55.0
TRF092830,21,4,residential,low,64.6
TRF011367,6,3,commercial,medium,47.8
TRF080362,15,5,residential,medium,29.8
TRF002790,16,5,industrial,medium,53.5
TRF061214,8,3,,high,26.7
TRF018886,22,4,industrial,low,77.6
TRF008920,12,5,,medium,28.0
TRF004733,17,1,,,62.0
TRF092043,2,6,commercial,low,58.7
TRF082695,10,5,industrial,high,18.4
TRF075350,14,6,,low,58.0
TRF079286,4,5,industrial,low,63.6
TRF036911,16,1,industrial,medium,25.7
TRF003699,3,4,,medium,38.2
TRF027723,19,0,residential,high,20.7
TRF011540,8,2,industrial,high,14.1
TRF009745,7,0,,high,24.2
TRF019549,7,3,commercial,medium,33.2
TRF077763,6,2,commercial,low,
TRF064129,17,0,industrial,high,28.2
TRF024293,22,5,industrial,medium,25.9
TRF052498,9,0,residential,high,28.8
TRF064382,18,6,,high,15.4
TRF070691,16,6,,medium,38.2
TRF022204,12,5,residential,high,15.4
TRF066898,12,0,commercial,low,76.4
TRF061042,9,5,,low,70.6
TRF062006,14,0,,medium,50.6
TRF043757,7,1,,medium,46.0
TRF044739,10,0,commercial,high,15.9
TRF011889,21,5,residential,low,64.1
TRF084951,12,0,residential,low,53.0
TRF048959,7,0,,high,18.8
TRF000011,11,6,,low,56.5
TRF088570,20,2,industrial,medium,47.6
TRF047571,6,3,industrial,medium,29.0
TRF026130,8,3,commercial,medium,51.4
TRF041555,22,5,residential,low,69.9
TRF010395,8,0,commercial,low,60.9
TRF041999,19,5,residential,low,65.0
TRF016670,17,3,,,69.0
TRF025708,15,3,,medium,39.1
TRF001495,5,3,residential,low,53.1
TRF054550,13,4,commercial,medium,39.2
TRF080017,22,2,,low,68.3
TRF059314,22,4,industrial,low,52.9
TRF036303,9,5,commercial,medium,47.7
TRF084401,5,3,commercial,high,25.3
TRF084076,15,0,industrial,low,57.1
TRF090940,9,2,commercial,high,
TRF076339,10,3,industrial,high,20.9
TRF079429,8,4,,medium,38.1
TRF030843,12,1,,medium,46.4
TRF009009,11,6,industrial,high,12.1
TRF095026,7,5,industrial,high,18.1
TRF064505,4,5,commercial,low,66.7
TRF062291,21,5,industrial,low,75.4
TRF033084,0,2,,low,65.6
TRF005677,17,2,industrial,high,23.3
TRF004510,13,3,residential,medium,47.6
TRF046452,1,0,commercial,low,67.8
TRF068318,9,1,commercial,high,25.1
TRF001341,20,3,residential,medium,37.6
TRF088275,2,4,industrial,low,58.7
TRF057190,7,3,commercial,high,26.4
TRF036406,0,1,commercial,low,73.2
TRF058871,3,0,residential,low,52.1
TRF006886,10,5,commercial,medium,36.9
TRF045134,18,1,residential,high,12.5
TRF072427,15,0,industrial,low,54.2
TRF049955,15,2,industrial,medium,47.1
TRF090175,20,2,commercial,high,
TRF053701,9,2,,high,15.6
TRF035159,15,0,residential,medium,51.5
TRF042867,1,3,residential,low,50.2
TRF041787,19,6,,high,27.5
TRF072736,19,0,,medium,47.9
TRF014237,9,6,residential,high,19.6
TRF004558,11,4,residential,medium,47.1
TRF002080,11,0,,medium,51.8
TRF079366,14,2,commercial,low,50.4
TRF090484,2,5,industrial,low,57.5
TRF086438,5,2,residential,low,64.9
TRF017053,3,5,commercial,low,47.1
TRF070335,19,4,,high,23.8
TRF079602,7,6,residential,high,29.7
TRF014716,,5,industrial,high,11.8
TRF019981,19,5,industrial,low,70.4
TRF067163,23,3,commercial,low,65.4
TRF053116,16,1,industrial,medium,39.2
TRF069094,14,3,commercial,medium,44.0
TRF067081,21,0,industrial,low,57.2
TRF074614,20,3,industrial,medium,42.0
TRF064322,22,4,industrial,low,79.0
TRF035705,21,4,industrial,low,66.3
TRF073120,13,4,industrial,high,12.6
TRF014018,8,3,residential,high,25.1
TRF052869,6,4,commercial,low,61.9
TRF042092,19,4,industrial,high,12.9
TRF023250,10,3,commercial,medium,48.4
TRF073091,21,0,commercial,medium,35.3
TRF019147,12,1,,low,48.8
TRF052878,3,6,residential,medium,27.2
TRF071377,20,5,,high,19.0
TRF045816,5,5,residential,low,58.6
TRF057821,7,5,commercial,high,10.7
TRF029676,9,,,high,25.4
TRF076728,,6,commercial,high,11.7
TRF026108,7,3,commercial,high,16.5
TRF063449,17,2,industrial,high,21.9
TRF033859,1,0,,medium,47.6
TRF093994,15,0,commercial,medium,52.8
TRF010318,11,5,residential,medium,51.6
TRF060843,10,0,residential,medium,41.4
TRF093630,22,5,residential,low,49.1
TRF077009,18,0,industrial,medium,43.9
TRF000798,20,4,industrial,medium,42.0
TRF086853,11,5,,low,55.7
TRF010689,10,4,commercial,low,78.3
TRF007142,1,4,residential,low,69.9
TRF052400,19,6,industrial,high,12.7
TRF039916,8,0,industrial,high,25.8
TRF090956,0,6,industrial,low,50.3
TRF053916,8,4,industrial,high,25.2
TRF029773,18,6,residential,high,23.3
TRF060972,14,,commercial,low,46.5
TRF026577,14,3,industrial,high,14.8
TRF073733,21,0,,low,48.0
TRF003507,7,0,,high,14.3
TRF000760,20,4,,medium,38.4
TRF036835,21,4,industrial,low,53.9
TRF049330,15,3,commercial,high,11.9
TRF045262,1,5,industrial,low,71.9
TRF030794,18,0,commercial,high,17.4
TRF043417,17,2,industrial,high,10.2
TRF056861,8,0,commercial,medium,51.9
TRF081416,22,5,commercial,low,55.4
TRF078072,9,1,industrial,low,57.9
TRF049300,3,0,residential,low,55.3
TRF058243,2,1,,low,55.9
TRF046421,20,,,low,64.0
TRF047192,9,0,commercial,high,16.3
TRF046766,20,5,industrial,low,48.2
TRF007165,7,6,industrial,medium,38.8
TRF045047,9,3,,high,20.5
TRF029255,16,1,residential,medium,53.7
TRF049230,17,5,commercial,high,23.4
TRF062251,7,0,residential,high,23.9
TRF069886,21,0,industrial,medium,35.9
TRF081115,15,5,industrial,medium,
TRF044668,13,5,commercial,low,68.2
TRF069146,7,0,commercial,,49.5
TRF017090,23,5,industrial,medium,49.0
TRF008011,11,3,commercial,medium,42.5
TRF017117,6,3,commercial,medium,39.5
TRF029467,12,0,,medium,42.9
TRF010560,3,,,low,79.1
TRF036082,13,1,industrial,low,47.8
TRF022859,3,0,industrial,high,18.9
TRF034187,2,5,commercial,low,61.6
TRF002287,5,3,residential,low,72.5
TRF093595,4,3,industrial,low,70.2
TRF009188,11,0,residential,medium,48.2
TRF085152,20,2,residential,low,73.7
TRF011052,17,5,industrial,high,30.0
TRF080302,8,0,industrial,high,24.5
TRF026815,3,3,residential,low,51.9
TRF077104,14,3,commercial,medium,52.7
TRF002386,9,1,,high,29.1
TRF015979,11,0,commercial,medium,35.2
TRF075481,8,6,industrial,high,14.0
TRF038571,23,1,residential,low,46.4
TRF064330,2,4,commercial,low,48.8
TRF018981,0,1,industrial,low,70.3
TRF086029,15,5,commercial,low,55.3
TRF021098,14,3,residential,medium,25.8
TRF022188,16,0,commercial,low,76.0
TRF013979,23,,residential,low,61.5
