road_id,road_type,num_lanes,num_signals,zone_type
RD17835,urban,3,9,commercial
RD20890,highway,3,1,industrial
RD15157,urban,2,4,industrial
RD11956,residential,1,5,residential
RD13291,urban,3,11,commercial
RD18589,urban,2,9,commercial
RD20919,highway,6,1,commercial
RD12671,residential,2,13,residential
RD05182,residential,3,5,
RD02449,highway,,0,industrial
RD15920,highway,4,0,industrial
RD06366,residential,1,8,residential
RD06707,residential,1,12,commercial
RD18094,residential,,8,industrial
RD04163,urban,4,7,residential
RD03730,highway,3,0,commercial
RD11069,urban,3,7,industrial
RD19237,highway,,1,industrial
RD10231,residential,3,7,residential
RD04142,urban,3,8,residential
RD07725,residential,2,7,residential
RD20310,residential,2,,residential
RD00038,urban,3,11,residential
RD09928,residential,2,13,commercial
RD21252,urban,3,11,industrial
RD13349,urban,2,8,commercial
RD10702,urban,4,3,commercial
RD21892,residential,1,12,commercial
RD20888,urban,,3,residential
RD09544,residential,1,7,industrial
RD05603,residential,1,8,commercial
RD16235,urban,3,10,residential
RD05102,highway,5,2,industrial
RD06718,highway,5,2,commercial
RD01553,residential,2,11,commercial
RD12608,urban,2,,commercial
RD18881,urban,4,11,industrial
RD04534,highway,3,2,commercial
RD20440,urban,2,,commercial
RD06398,residential,3,7,residential
RD21816,residential,1,5,
RD17406,highway,4,0,commercial
RD13303,residential,1,12,commercial
RD16341,residential,2,6,residential
RD20851,highway,6,1,residential
RD06929,urban,2,4,commercial
RD04083,residential,3,12,industrial
RD17280,urban,2,9,industrial
RD20200,residential,3,11,residential
RD01871,urban,3,3,industrial
RD17676,highway,,2,industrial
RD19755,highway,4,1,industrial
RD16956,highway,4,0,commercial
RD00927,residential,2,12,commercial
RD11193,urban,2,11,commercial
RD04811,urban,2,5,residential
RD09545,residential,,14,commercial
RD07087,highway,4,0,commercial
RD12398,residential,1,13,residential
RD19192,urban,2,8,residential
RD02567,highway,3,1,
RD14264,urban,2,9,residential
RD11004,urban,4,3,commercial
RD02698,residential,1,8,commercial
RD16991,urban,2,11,commercial
RD21096,highway,4,1,industrial
RD13902,residential,3,11,residential
RD20415,residential,1,14,
RD17515,residential,2,5,
RD16801,highway,6,3,commercial
RD07922,residential,3,7,residential
RD01948,residential,3,9,residential
RD10334,residential,1,12,
RD08070,urban,4,5,commercial
RD15176,highway,4,2,commercial
RD02215,urban,2,5,residential
RD10841,residential,2,11,residential
RD13344,residential,3,15,residential
RD18569,highway,4,3,commercial
RD10998,urban,3,6,residential
RD12515,highway,4,1,commercial
RD07938,residential,3,15,industrial
RD11580,urban,,9,residential
RD17094,highway,6,1,
RD04140,urban,3,10,commercial
RD21442,residential,2,12,residential
RD05715,residential,2,11,commercial
RD16609,urban,3,6,residential
RD09260,urban,2,10,commercial
RD09153,residential,3,12,residential
RD06973,residential,3,14,
RD21988,urban,,3,commercial
RD03808,highway,4,0,commercial
RD21510,residential,1,14,residential
RD11066,residential,1,11,commercial
RD19729,urban,3,6,commercial
RD00675,highway,4,0,residential
RD20213,residential,3,8,residential
RD14429,urban,2,11,commercial
RD03433,highway,6,2,industrial
RD06644,urban,4,7,commercial
RD13952,residential,1,6,residential
RD21788,highway,3,1,industrial
RD01678,residential,1,9,commercial
RD20615,residential,3,10,residential
RD12391,residential,3,9,industrial
RD17025,residential,3,12,commercial
RD20346,residential,2,5,residential
RD03538,urban,2,8,residential
RD04778,urban,2,4,industrial
RD01260,residential,3,7,
RD18594,residential,3,11,commercial
RD02446,highway,4,3,commercial
RD19538,urban,4,6,commercial
RD05334,residential,3,,commercial
RD00151,urban,2,8,
RD20726,urban,3,11,industrial
RD08332,residential,1,14,residential
RD06990,urban,2,4,residential
RD03537,residential,2,9,commercial
RD15388,urban,4,7,commercial
RD16141,residential,2,6,commercial
RD16460,highway,6,3,commercial
RD06848,urban,3,4,residential
RD20443,residential,2,15,residential
RD09052,residential,3,11,commercial
RD01421,urban,3,11,commercial
RD03186,highway,3,2,
RD00079,residential,2,7,commercial
RD03774,residential,3,14,commercial
RD13634,urban,4,3,residential
RD21139,urban,3,3,commercial
RD13432,highway,5,2,industrial
RD12231,residential,1,10,residential
RD01967,residential,2,10,commercial
RD09097,urban,4,3,industrial
RD02116,residential,2,15,residential
RD01397,urban,3,3,commercial
RD04974,highway,3,3,industrial
RD10108,residential,,14,commercial
RD17999,urban,3,11,industrial
RD11028,urban,4,9,commercial
RD11153,residential,3,6,
RD07263,highway,6,3,residential
RD21150,highway,5,0,commercial
RD11575,residential,2,9,commercial
RD08685,residential,3,,residential
RD06574,residential,,6,residential
RD07323,highway,5,2,industrial
RD00886,urban,3,4,commercial
RD20938,urban,3,11,commercial
RD08435,urban,3,5,commercial
RD00803,residential,3,11,industrial
RD18508,urban,2,6,
RD13449,urban,3,11,commercial
RD03879,residential,3,10,commercial
RD01246,urban,2,11,commercial
RD16850,urban,2,4,commercial
RD10284,highway,3,3,commercial
RD04053,residential,2,8,commercial
RD02111,highway,5,0,industrial
RD07605,highway,3,0,residential
RD07405,urban,2,9,residential
RD10513,urban,2,7,industrial
RD17861,highway,6,3,commercial
RD00802,highway,4,1,commercial
RD12654,urban,4,8,commercial
RD04673,urban,2,7,residential
RD00387,highway,5,1,industrial
RD01546,highway,5,3,commercial
RD09745,urban,3,3,industrial
RD04465,residential,1,5,residential
RD16486,urban,3,9,residential
RD06284,residential,3,10,industrial
RD05173,highway,4,3,residential
RD10773,residential,3,8,
RD04509,urban,2,3,industrial
RD09443,urban,3,10,commercial
RD06086,highway,5,2,industrial
RD05383,urban,3,3,commercial
RD03566,urban,3,3,commercial
RD03763,residential,,13,residential
RD06904,residential,3,7,commercial
RD14862,residential,3,6,residential
RD20750,highway,5,3,industrial
RD02435,highway,6,2,residential
RD17645,highway,6,2,industrial
RD00964,highway,6,0,commercial
RD03552,residential,2,6,commercial
RD15487,urban,3,4,residential
RD18528,residential,1,5,residential
RD04601,residential,1,6,residential
RD12352,residential,2,8,commercial
RD06486,urban,3,3,industrial
RD16960,urban,2,8,commercial
RD15499,residential,1,10,residential
RD07507,highway,6,2,residential
RD14501,residential,,8,commercial
RD05214,residential,3,8,commercial
RD20106,urban,3,7,residential
RD00576,residential,,10,commercial
RD13599,residential,1,9,residential
RD08422,urban,3,8,commercial
RD00873,highway,4,2,industrial
RD15907,residential,1,5,residential
RD05363,residential,2,10,residential
RD01341,residential,3,12,commercial
RD10455,urban,4,5,industrial
RD12943,urban,4,10,commercial
RD18205,residential,1,13,residential
RD11808,residential,2,14,residential
RD02241,residential,3,9,residential
RD09350,highway,5,2,
RD04907,highway,3,3,industrial
RD14735,residential,2,13,residential
RD21504,residential,3,6,
RD04756,urban,,4,commercial
RD02558,urban,3,5,commercial
RD11240,urban,2,9,residential
RD14525,highway,5,3,
RD10561,highway,3,1,residential
RD12721,highway,5,2,commercial
RD21135,residential,3,6,residential
RD10343,residential,,,commercial
RD12486,residential,3,10,industrial
RD03518,residential,1,13,residential
RD08785,urban,2,5,
RD00565,residential,1,14,commercial
RD19718,residential,2,9,residential
RD19418,highway,3,0,industrial
RD14028,residential,2,5,residential
RD10029,residential,2,11,commercial
RD00984,residential,1,,
RD17185,residential,1,6,residential
RD20383,urban,3,10,commercial
RD06003,residential,3,12,commercial
RD07404,urban,3,4,commercial
RD07853,residential,,13,residential
RD16550,residential,2,9,residential
RD14724,residential,1,5,industrial
RD01873,highway,3,1,industrial
RD01815,residential,,10,residential
RD05375,urban,,8,commercial
RD08191,residential,1,14,commercial
RD17763,highway,3,,commercial
RD03749,urban,4,4,
RD06074,highway,,0,industrial
RD14526,urban,3,3,commercial
RD09270,urban,4,,
RD10676,urban,,4,industrial
RD19740,highway,4,2,industrial
RD17239,highway,6,3,commercial
RD14682,urban,4,6,residential
RD15389,highway,6,3,industrial
RD01447,residential,,5,commercial
RD11294,residential,2,7,residential
RD18954,residential,1,5,industrial
RD00848,urban,3,5,residential
RD11540,urban,4,,commercial
RD07343,residential,1,11,commercial
RD20855,residential,3,11,residential
RD05551,residential,1,8,commercial
RD01631,urban,3,4,
RD09472,urban,4,5,commercial
RD12042,residential,3,8,
RD01026,highway,6,,industrial
RD21037,residential,1,5,residential
RD11626,urban,4,5,commercial
RD00911,highway,5,3,commercial
RD13278,residential,1,10,residential
RD00161,residential,2,10,residential
RD07468,residential,3,15,residential
RD19036,highway,3,0,industrial
RD15166,urban,4,11,residential
RD01555,residential,1,7,residential
RD18248,urban,3,9,
RD03979,highway,,,
RD18159,highway,4,1,industrial
RD09790,highway,5,2,industrial
RD17794,residential,1,10,residential
RD12994,highway,4,1,commercial
RD19532,residential,1,14,residential
RD14060,residential,3,,
RD01843,highway,4,3,
RD16091,residential,3,6,commercial
RD12470,urban,2,5,
RD11135,residential,1,7,residential
RD00915,urban,3,4,industrial
RD21514,urban,2,10,residential
RD10489,urban,3,7,commercial
RD17978,urban,4,4,residential
RD00031,residential,2,9,commercial
RD02288,residential,1,11,residential
RD04299,highway,4,0,commercial
RD11487,residential,1,5,residential
RD17736,residential,1,7,residential
RD01884,highway,3,2,industrial
RD07494,highway,3,1,commercial
RD01647,urban,2,11,industrial
RD13197,residential,2,14,residential
RD15675,residential,2,6,residential
RD21970,residential,2,8,residential
RD21726,residential,,5,commercial
RD06584,residential,2,10,commercial
RD07374,residential,2,5,residential
RD14816,residential,1,11,residential
RD14217,residential,3,12,commercial
RD01662,residential,2,15,residential
RD15185,urban,3,,commercial
RD00145,highway,3,1,commercial
RD15350,highway,6,,residential
RD14919,residential,3,10,residential
RD06241,highway,3,0,residential
RD12712,residential,2,9,industrial
RD18558,residential,2,6,residential
RD00569,residential,1,,residential
RD03935,residential,2,11,residential
RD00679,urban,,8,residential
RD12514,urban,2,6,commercial
RD19865,highway,5,3,residential
RD08903,urban,4,11,commercial
RD19340,residential,3,10,commercial
RD06384,highway,,1,industrial
RD21823,residential,2,11,residential
RD01852,residential,3,13,residential
RD08989,highway,4,0,industrial
RD18137,residential,2,13,residential
RD18969,urban,,8,commercial
RD09735,residential,,12,industrial
RD09378,highway,5,1,industrial
RD12194,residential,3,6,residential
RD15889,urban,,3,commercial
RD04162,urban,2,3,residential
RD17821,residential,1,,residential
RD21876,residential,,14,commercial
RD09077,urban,2,11,commercial
RD13452,highway,,1,residential
RD13244,highway,3,3,commercial
RD11160,highway,5,3,commercial
RD01128,residential,3,13,commercial
RD14670,urban,4,7,industrial
RD01343,highway,3,0,residential
RD16740,residential,1,6,residential
RD20509,highway,3,0,residential
RD15960,residential,1,12,residential
RD10163,highway,4,0,residential
RD02054,urban,2,4,residential
RD07299,urban,,9,commercial
RD10114,urban,3,9,commercial
RD10677,urban,2,7,
RD13506,highway,6,,commercial
RD04085,highway,6,0,
RD13811,urban,3,4,residential
RD13869,residential,1,,residential
RD04328,urban,3,3,
RD00600,urban,4,11,residential
RD06827,urban,2,10,commercial
RD12269,urban,3,6,industrial
RD19952,urban,4,7,commercial
RD09112,urban,3,5,industrial
RD04061,residential,1,5,commercial
RD13770,highway,6,3,industrial
RD11150,urban,2,10,commercial
RD11341,residential,1,7,commercial
RD05823,urban,2,6,industrial
RD15354,residential,,,commercial
RD03003,highway,3,2,
RD06130,residential,2,11,residential
RD01210,residential,3,10,commercial
RD18758,residential,1,11,commercial
RD13709,urban,2,5,commercial
RD01193,highway,3,3,
RD16783,highway,5,0,commercial
RD15939,highway,5,3,industrial
RD03414,residential,1,15,residential
RD20752,residential,2,10,commercial
RD20351,highway,3,0,residential
RD14827,urban,2,5,commercial
RD05314,residential,3,6,residential
RD13169,residential,3,8,industrial
RD12131,residential,2,7,commercial
RD02903,urban,2,9,commercial
RD08767,urban,4,11,industrial
RD15265,urban,,11,
RD02496,urban,3,3,industrial
RD01028,highway,4,0,commercial
RD05688,residential,3,11,residential
RD20616,urban,3,10,commercial
RD19125,residential,2,10,residential
RD07000,urban,3,9,commercial
RD19569,urban,3,4,commercial
RD01264,residential,3,,residential
RD16061,urban,2,6,industrial
RD19893,highway,3,3,industrial
RD03343,residential,,,commercial
RD21373,highway,4,3,commercial
RD01389,highway,3,0,
RD15770,urban,4,7,commercial
RD18192,residential,1,10,
RD07982,residential,,15,residential
RD13360,highway,6,1,industrial
RD10844,residential,2,13,commercial
RD18333,highway,3,3,commercial
RD09749,highway,5,0,industrial
RD14675,urban,4,,commercial
RD12441,urban,4,9,residential
RD16443,urban,2,5,industrial
RD06023,urban,4,8,
RD01441,highway,5,3,industrial
RD06940,urban,3,3,commercial
RD14572,residential,,13,commercial
RD17540,residential,2,10,commercial
RD08304,urban,4,8,residential
RD20850,highway,4,,commercial
RD17959,highway,3,0,residential
RD05445,residential,3,7,commercial
RD01716,residential,3,12,industrial
RD04721,residential,3,6,industrial
RD19971,residential,3,13,commercial
RD06886,urban,4,4,residential
RD00989,urban,2,10,residential
RD10576,residential,2,15,commercial
RD12010,urban,2,5,residential
RD19653,residential,3,11,
RD12557,residential,3,14,industrial
RD09489,residential,3,10,residential
RD00531,highway,3,2,commercial
RD05254,highway,3,3,commercial
RD16719,urban,4,5,commercial
RD07182,urban,4,11,residential
RD10056,highway,6,1,commercial
RD00854,urban,4,6,commercial
RD13827,urban,2,8,commercial
RD05253,residential,,12,residential
RD10038,residential,2,7,residential
RD07902,residential,1,10,
RD14870,residential,3,15,residential
RD00334,urban,3,8,commercial
RD04513,highway,6,2,commercial
RD15637,urban,3,9,
RD12706,urban,3,5,commercial
RD07726,highway,5,0,industrial
RD03362,urban,,8,commercial
RD09878,residential,3,6,residential
RD04022,highway,,1,commercial
RD17992,urban,4,10,commercial
RD20900,urban,4,3,commercial
RD09587,urban,2,11,
RD08358,urban,3,7,commercial
RD03425,residential,2,15,commercial
RD07710,urban,3,11,commercial
RD05829,urban,2,4,residential
RD21115,urban,2,5,industrial
RD05233,residential,2,12,
RD15471,urban,3,3,commercial
RD15416,urban,2,11,commercial
RD09261,residential,2,9,residential
RD14582,urban,4,,industrial
RD20404,highway,3,0,industrial
RD08063,urban,4,10,commercial
RD09708,residential,1,14,residential
RD02799,residential,1,,
RD21924,urban,4,5,
RD00034,highway,5,3,industrial
RD10724,residential,2,12,residential
RD11946,highway,5,1,
RD18418,highway,6,2,residential
RD08277,urban,3,9,residential
RD10762,urban,2,8,residential
RD03618,urban,4,11,commercial
RD12039,highway,6,0,industrial
RD19759,highway,5,1,residential
RD01891,highway,5,0,commercial
RD02409,residential,1,11,residential
RD16350,residential,3,14,commercial
RD17350,residential,2,15,commercial
RD11405,urban,3,10,industrial
RD20762,residential,1,13,
RD18212,urban,3,9,residential
RD10243,urban,3,11,commercial
RD07767,highway,4,1,residential
RD08281,urban,4,6,industrial
RD15591,highway,5,3,industrial
RD11198,urban,3,5,commercial
RD12566,highway,5,0,commercial
RD06887,residential,2,7,industrial
RD12696,highway,6,2,residential
RD15638,highway,,3,industrial
RD15452,highway,5,3,industrial
RD13837,highway,4,0,residential
RD14156,urban,,7,industrial
RD10779,residential,3,9,residential
RD10997,highway,6,1,commercial
RD21721,residential,2,12,residential
RD18377,highway,3,1,
RD16019,residential,2,5,commercial
RD01342,highway,5,2,commercial
RD15773,residential,1,,residential
RD04983,urban,2,5,commercial
RD01507,residential,1,13,industrial
RD04952,urban,4,11,residential
RD17042,residential,2,11,residential
RD03411,highway,5,3,industrial
RD15445,residential,2,14,residential
RD06358,urban,,8,commercial
RD09150,highway,4,3,industrial
RD01415,highway,3,,residential
RD11812,highway,6,1,industrial
RD00862,residential,3,14,commercial
RD08735,residential,3,10,
RD07809,urban,4,4,commercial
RD06701,residential,1,7,commercial
RD07345,residential,3,13,commercial
RD01344,urban,3,8,residential
RD16563,highway,6,2,commercial
RD16278,highway,4,0,industrial
RD19554,residential,2,15,commercial
RD05644,highway,5,1,industrial
RD05949,highway,5,1,commercial
RD07422,highway,4,1,industrial
RD01020,highway,4,3,commercial
RD12267,urban,2,6,industrial
RD14996,urban,,3,residential
RD20211,residential,3,14,residential
RD00759,residential,3,12,residential
RD02900,residential,,6,residential
RD15543,residential,2,10,residential
RD06971,highway,5,2,industrial
RD15772,urban,4,8,commercial
RD15382,highway,3,1,residential
RD16821,highway,3,3,residential
RD17395,residential,1,,residential
RD07212,urban,2,10,
RD11319,urban,,4,commercial
RD03898,highway,6,3,residential
RD18006,urban,3,3,commercial
RD16005,residential,3,10,residential
RD19529,highway,4,1,commercial
RD21777,urban,4,6,commercial
RD16074,urban,3,7,residential
RD20613,highway,6,3,residential
RD15834,urban,2,4,commercial
RD13453,urban,4,4,
RD13207,urban,2,4,residential
RD20366,urban,2,4,industrial
RD21554,residential,2,10,commercial
RD06662,urban,4,10,industrial
